Frequency Log(Hz), Gain (dB), Phase (deg)
0.999497431038443, 49.0346086128805, 42.0806159895269
1.05008717709257, 49.5559560531224, 39.5632618311765
1.10023740396029, 50.0058956601276, 36.5259367668769
1.15022882992898, 50.4159516619087, 33.6493209528035
1.2001872507665, 50.8082405901718, 30.7250904493952
1.25013349742941, 51.1323700966401, 28.1003902695902
1.30002096077692, 51.4044142254822, 25.5004295877898
1.35021521089153, 51.5424839798783, 22.5255507071073
1.40006158353663, 51.727209717491, 19.736157390805
1.44982550917017, 51.8877372616845, 16.7579330265476
1.4999399087982, 52.1163157338202, 14.3814763318549
1.5500251058573, 52.2540341959825, 12.3060055510514
1.60003624924587, 52.2467067381452, 9.91330951248297
1.64988874168836, 52.3535560364684, 6.64903225805231
1.70008416867721, 52.3247733040187, 4.85453109862768
1.74995727394125, 52.4164635582418, 2.63535963172906
1.80000942972812, 52.399825602188, 0.363266145351849
1.85005655899785, 52.4513563184374, -2.32815547268881
1.9000491613492, 52.4543967795361, -4.67508336554538
1.95001206795852, 52.3981416577299, -7.01628112660093
2.00000330702098, 52.3493740549452, -9.64942902893472
2.04999706515493, 52.4100082773394, -11.4908260808301
2.09999650842934, 52.0852660920291, -14.0952271639022
2.15001413379777, 52.0532647307404, -17.9843060302307
2.19999588945832, 51.8519238353978, -20.026143554896
2.25001979289102, 51.5830411242119, -23.6043003372947
2.30002096077692, 51.4711568131582, -26.1530963247363
2.34998942742822, 51.1420479017632, -29.4346372919113
2.39998107663457, 50.8860109955079, -32.3440381218863
2.45000493263147, 50.4147580455332, -36.0247114788179
2.50000386498445, 50.0577642391369, -39.5176727471379
2.54999660790907, 49.5493300561044, -42.3848444340725
2.60001085116511, 49.0691022077979, -46.5640553963872
2.65000194238805, 48.5034595175624, -49.564775460849
2.70000347479331, 47.6819936377929, -52.212738981539
2.74999323886876, 47.1073340028178, -55.5636813169214
2.7999934038058, 46.3674010507031, -58.2651069000652
2.84999943002093, 45.5778944352692, -60.3042877136933
2.89999824459179, 44.8003206766455, -62.7057172257951
2.95000072260443, 43.9428519620124, -65.5857942015796
3.00000330702098, 43.0610354659795, -67.4492781139678
3.04999706515493, 42.1222103742114, -68.7420539767782
3.09999650842934, 41.287616945204, -69.8410761205468
3.14999981694791, 40.416359990222, -71.1617163957474
3.20000226952724, 39.4208940122236, -72.0482222491497
3.25000273464235, 38.5073093524354, -72.7444300317629
3.30000068984962, 37.5633169378162, -73.3561857659812
3.34999846102084, 36.6391821234105, -73.6881253470518
3.40000120475924, 35.7113817485454, -73.4560514089465
3.45000134488859, 34.7406197435745, -73.4425515040724
3.50000066739881, 33.7825912998225, -73.5799091599927
3.54999945778804, 32.8566957808328, -72.7256678193439
3.6000006915169, 31.9148717679717, -72.4141883445383
3.6499996786632, 31.0381834907407, -71.3858782793987
3.69999943970551, 30.0753631186931, -70.3102589945852
3.75000043149688, 29.2099396867049, -69.0653115222761
3.7999998142457, 28.375558230053, -67.6484406548013
3.84999943002093, 27.4703161046912, -65.5685023618497
3.89999951758348, 26.6393477417186, -64.1453998416045
3.94999958805272, 25.8495479331139, -61.8208887670729
4.00000027352157, 25.1213360303833, -60.1032540454921
4.04999976878512, 24.4130336252606, -56.9667108018675
4.09999972124884, 23.7238041143225, -55.1657035006317
4.14999981694791, 23.1613401763634, -51.7211757020003
4.19999971751092, 22.5850935259242, -49.1747179026925
4.24999989153576, 22.1503415364093, -46.542395521171
4.30000018306431, 21.5931407559372, -44.3579742358665
4.34999981604352, 21.2704996086843, -41.7812323290902
4.39999999709807, 20.8531975534017, -39.8667142267259
4.44999990978314, 20.6608407380436, -37.4943306260184
4.50000002787886, 20.3405830604756, -35.5850548719361
4.5500000277616, 20.7131265989279, -37.2022466043564
4.5999999295337, 20.021484451738, -32.6519193495386
4.64999990503621, 19.8898696335523, -31.71858608883
4.70000004497107, 19.7781733497378, -30.7122389569775
4.7500000718683, 19.6901969876783, -30.6957958971885
4.79999997450548, 19.6228190228267, -30.3007311937878
4.8500000013479, 19.5451104698657, -30.4780963016392
4.90000002677911, 19.4902379305035, -31.0912819496884
4.95000004187376, 19.5095218981888, -32.4269044066956
4.99999997017047, 19.5528811417776, -34.0106038228609
5.05000003914721, 19.5494035509427, -35.9202262587378
5.09999996220934, 19.6229224403618, -38.3065582155596
5.15000003170415, 19.686005230421, -40.8258493032556
5.19999997271323, 19.8372358640508, -44.5583957840934
5.25000000526039, 19.9775548918313, -48.5817651087865
5.29999998035002, 20.1461452612862, -53.4415209048458
5.34999999671289, 20.3445201639425, -58.9421250916984
5.39999999709807, 20.6424480903719, -65.5801242308489
5.45000001741621, 20.9813695166538, -73.0884710542873
5.49999999590284, 21.3579174910623, -82.2310705697891
5.54999999926294, 21.72099218354, -92.374259409965
5.60000000573208, 22.2220062824732, -104.201514758455
5.64999999558539, 22.8069744606409, -118.857696154771
5.70000000462006, 23.32383313532, -137.288049277878
5.74999999994255, 23.5629563886055, -161.259780450638
5.80000000655743, 22.8563844981869, -189.572270426672
5.8500000013479, 21.1882007586938, -217.50811226602
5.90000000131934, 18.9102020728664, -240.524705014366
5.94999999649168, 16.8740184608517, -258.30766589544
6.00000000050558, 15.4620456920303, -273.930169239689
