Frequency Log(Hz), Gain (dB), Phase (deg)
0.999497431038443, -54.3833494499156, 48.5249234054535
1.05008717709257, -58.781811043026, 52.832651177295
1.10023740396029, -54.0877094125875, 94.2008866962211
1.15022882992898, -55.1939641240647, 82.0318462696833
1.2001872507665, -57.8346766065989, 99.6289618818723
1.25013349742941, -53.6763049218151, 88.9533116363861
1.30002096077692, -54.5349633299295, 58.4824637009141
1.35021521089153, -57.1270702930789, 85.5862443341978
1.40006158353663, -49.9391482283494, 51.4238512920938
1.44982550917017, -49.5989850750359, 69.5397163706734
1.4999399087982, -51.2780250194038, 60.1307143311709
1.5500251058573, -52.0412678646722, 59.040223610278
1.60003624924587, -49.2035965993548, 69.5860134311769
1.64988874168836, -47.4341891215071, 42.6616213621888
1.70008416867721, -49.3839319381931, 48.7171392491318
1.74995727394125, -49.5746930416426, 46.848847808603
1.80000942972812, -46.521800112263, 43.5062195809738
1.85005655899785, -48.121845709191, 42.8487858634978
1.9000491613492, -47.2592437227147, 39.0998163986799
1.95001206795852, -47.4629427070706, 45.9571525116398
2.00000330702098, -49.1494926263401, 41.3407005995217
2.04999706515493, -49.1136542382868, 36.7904675504471
2.09999650842934, -45.3497329700233, 38.5735111110955
2.15001413379777, -46.5906146739542, 32.4476732212576
2.19999588945832, -46.0694632264407, 42.2655007848776
2.25001979289102, -47.4197020933772, 34.7824578000441
2.30002096077692, -45.6518870239838, 34.691099697901
2.34998942742822, -46.3259283296616, 42.6499097206241
2.39998107663457, -44.8716966981802, 39.0844352427079
2.45000493263147, -45.0652492855998, 55.4332557866403
2.50000386498445, -44.3539414142018, 53.430821304827
2.54999660790907, -43.2378802440338, 46.0182422843493
2.60001085116511, -43.4243238648383, 49.7045873651972
2.65000194238805, -42.7839146425666, 63.4231573882964
2.70000347479331, -44.2326380858565, 56.7402554156838
2.74999323886876, -40.7548477969295, 58.1802629593568
2.7999934038058, -41.8265520718528, 59.6038668382656
2.84999943002093, -39.2075880915967, 57.2800311195644
2.89999824459179, -39.2522776250871, 66.6186810520107
2.95000072260443, -37.686751435326, 71.5226266032838
3.00000330702098, -37.2123662913445, 57.3259776404021
3.04999706515493, -36.3760355925698, 59.6286072378496
3.09999650842934, -35.3198567669514, 68.5006815038226
3.14999981694791, -34.5306156189463, 53.876810461388
3.20000226952724, -33.5930989290027, 66.5888134843005
3.25000273464235, -33.1361792803759, 69.5203010742185
3.30000068984962, -31.7386804120339, 68.7133851999517
3.34999846102084, -30.8255137117798, 67.2188336048376
3.40000120475924, -29.7904705613304, 66.0370572802656
3.45000134488859, -28.9749322087039, 66.626202156103
3.50000066739881, -28.0783872955227, 64.1689019825088
3.54999945778804, -27.3157476176903, 62.5105097495663
3.6000006915169, -26.3632976430606, 61.2231736127355
3.6499996786632, -25.5129411900031, 57.5880716997367
3.69999943970551, -24.6904803554842, 56.2656543875005
3.75000043149688, -23.9082202406311, 52.0313092416026
3.7999998142457, -23.2325663202292, 49.8868853488314
3.84999943002093, -22.6145184083463, 46.2280676742721
3.89999951758348, -22.0435141258367, 44.3266946670029
3.94999958805272, -21.6626024959467, 35.9206567677452
4.00000027352157, -21.1336155125457, 32.6182303224013
4.04999976878512, -20.654836944841, 28.8597890716516
4.09999972124884, -20.4956237581823, 24.6320461735202
4.14999981694791, -20.1450198652024, 20.4898317191998
4.19999971751092, -19.9928744780187, 15.6288768290858
4.24999989153576, -19.5518888476789, 9.10311486578351
4.30000018306431, -19.39894950413, 5.33451449313838
4.34999981604352, -19.3240289028299, 1.01406191800583
4.39999999709807, -18.9785457759169, -3.04030267246454
4.44999990978314, -18.6607443847909, -8.37312853862775
4.50000002787886, -18.0516402763079, -17.0814733627562
4.5500000277616, -17.5939248577845, -26.7704873370309
4.5999999295337, -17.4138308502224, -41.3697077225013
4.64999990503621, -17.4746931120923, -54.058824692796
4.70000004497107, -17.3313174474005, -69.65802602261
4.7500000718683, -18.5918096107035, -82.7070151278959
4.79999997450548, -18.5473322082314, -94.2843438867877
4.8500000013479, -18.2074972189125, -110.252785235908
4.90000002677911, -19.0477159086104, -135.015925013337
4.95000004187376, -19.7141876739983, -138.740774702505
4.99999997017047, -20.4375346183541, -144.175690551617
5.05000003914721, -19.1514343096519, -165.145062548074
5.09999996220934, -19.8748681900555, 152.598714677307
5.15000003170415, -22.7776634528351, 92.5828226018421
5.19999997271323, -25.6658671126056, 83.1128064780974
5.25000000526039, -28.6094203946095, 69.0127175052245
5.29999998035002, -31.3247986565534, 53.3656433394323
5.34999999671289, -34.0706575982405, 37.1909078049151
5.39999999709807, -36.5508134838028, 19.9313685201291
5.45000001741621, -39.2139148814101, -0.325880522879423
5.49999999590284, -41.4799213164872, -19.941465429932
5.54999999926294, -43.4613962172144, -51.5619615868292
5.60000000573208, -46.3071850599816, -80.730791305251
5.64999999558539, -50.3016759434322, -119.44679956283
5.70000000462006, -51.7883896511614, -136.836783475373
5.74999999994255, -58.5570085628228, 161.675500281576
5.80000000655743, -60.862257426727, 108.623689081143
5.8500000013479, -65.648914045409, 127.280531235109
5.90000000131934, -67.3934117275677, -159.004041327785
5.94999999649168, -68.9043607250617, -166.709995985322
6.00000000050558, -72.2943333061678, -151.376471792893
