Frequency Log(Hz), Gain (dB), Phase (deg)
0.999497431038443, 41.2446028023841, 16.5299539255106
1.02505153551083, 41.3529752897252, 15.220442202579
1.05008717709257, 41.3565233473473, 14.0803142838749
1.07461031495166, 41.3355776448159, 12.923895671673
1.10023740396029, 41.422443635044, 12.126246939151
1.12519476082111, 41.3894797060612, 11.1596648335271
1.15022882992898, 41.4280629723647, 10.0938911431384
1.17525111177794, 41.3926868860573, 9.06433166652821
1.2001872507665, 41.5468743062956, 8.17777056567526
1.22497540357315, 41.4142549639763, 8.18628642060618
1.25013349742941, 41.5473546952076, 7.34031266491314
1.27498866046599, 41.5089767845765, 6.45318671298188
1.30002096077692, 41.5318880769665, 5.67728381835429
1.3251259873748, 41.5051229416432, 5.04822934525256
1.35021521089153, 41.6088090206633, 4.33900631565685
1.37478791685446, 41.649228389213, 2.24611579023291
1.40006158353663, 41.6114249596783, 3.31853392771485
1.425086369249, 41.6218410218701, 2.47273689252026
1.44982550917017, 41.5524188129513, 2.10731247106759
1.47492816403652, 41.6239500178553, 0.509376210737785
1.4999399087982, 41.6258356644717, 0.614846420624465
1.52510093279032, 41.5202514633231, -0.299659306507365
1.5500251058573, 41.6315916497708, 0.15568383312207
1.57494366923977, 41.5502478649784, -1.35207862377096
1.60003624924587, 41.6546056479334, -2.36929568729184
1.62495858916778, 41.6282120107763, -1.79516339451489
1.64988874168836, 41.54972956869, -3.03379727179049
1.6749638424656, 41.6646038083524, -3.55687193230564
1.70008416867721, 41.5355799258612, -4.94635979644781
1.72497498585417, 41.5565453568808, -5.16316903613354
1.74995727394125, 41.5451822573343, -5.52941968559139
1.77494067899635, 41.4736107458559, -7.06884059240748
1.80000942972812, 41.592061669863, -7.3599438588947
1.82507333135022, 41.3873122968477, -8.42959320553119
1.85005655899785, 41.3502737937362, -8.21459909912358
1.87503086367341, 41.3690389733138, -10.6057117255146
1.9000491613492, 41.3771869585585, -11.0684081125035
1.92502828707863, 41.3308495299553, -11.5890009037744
1.95001206795852, 41.3920162720675, -12.2907214080094
1.97503099740089, 41.3049575998438, -13.413209635705
2.00000330702098, 41.2115504192353, -13.9198052023011
2.02495607568367, 41.2639032028309, -14.9436052582583
2.04999706515493, 41.2852657879755, -16.8006902175179
2.07503588527665, 41.1281287427292, -17.2906939443298
2.09999650842934, 41.1169602084712, -18.456749660273
2.12496732196705, 41.0839666226833, -19.3926575396111
2.15001413379777, 41.1349464361278, -21.017930925989
2.17498086006922, 40.8481222013918, -22.1135409356364
2.19999588945832, 40.8923475826213, -22.5044844873927
2.22497540357315, 40.7245054771691, -24.1738745774188
2.25001979289102, 40.6015923037836, -25.9962879438099
2.27498866046599, 40.4961212473923, -26.8300195505336
2.30002096077692, 40.3889499741744, -28.6450993748854
2.32498247429912, 40.2882131016608, -29.631787495437
2.34998942742822, 40.1490440396102, -31.6671123981075
2.3750011721899, 39.9855009890817, -33.0998037994624
2.39998107663457, 39.7348628468391, -34.0885480599042
2.42501037056442, 39.6349086049121, -36.3504500955229
2.45000493263147, 39.4430242608848, -37.9016999819976
2.47499591140143, 39.2520729421324, -39.6466498844231
2.50000386498445, 38.9841169823223, -40.8446451373312
2.52501038245843, 38.7820949672647, -42.1392891403996
2.54999660790907, 38.5296291084345, -43.691459533444
2.57499748182666, 38.1904241531217, -45.2110978844011
2.60001085116511, 38.0233613868272, -47.150544118979
2.6250065483619, 37.7561563680957, -48.1755122317401
2.65000194238805, 37.4604734906258, -49.5900995071019
2.67500658588199, 37.1354755001284, -51.0272251403799
2.70000347479331, 36.7541986618413, -53.264352158343
2.72499403344006, 36.4944032784597, -55.0664429876114
2.74999323886876, 36.2807272745861, -54.0882857570232
2.77499160968639, 35.6813369957848, -57.0697955266184
2.7999934038058, 35.3527048759588, -58.3660611236222
2.82499769005736, 34.9778741965815, -59.5801536119423
2.84999943002093, 34.5072145245417, -60.6683724114436
2.8750038963983, 34.2600554966302, -61.8635583559632
2.89999824459179, 33.7457449829728, -62.7363259226031
2.92500425240794, 33.3393675795926, -64.2759401646298
2.95000072260443, 32.944439376736, -64.7434489181932
2.9749988659177, 32.5627993087047, -65.5240055934706
3.00000330702098, 32.0454800632832, -67.0957990688853
3.02500380822006, 31.5997259030871, -67.8048761122673
3.04999706515493, 31.2743672887493, -69.0019280140105
3.07500185499283, 30.7527472569985, -69.1633528308182
3.09999650842934, 30.4351165199677, -70.1067124335909
3.12499765403033, 29.843183091341, -70.5298840903094
3.14999981694791, 29.3638527601049, -71.1052950661002
3.17500113478185, 28.8845345022792, -71.6813085606963
3.20000226952724, 28.4086383800815, -72.3502488561924
3.22499949691214, 28.0320140141195, -72.0563877843889
3.25000273464235, 27.4717164185879, -72.9824236950471
3.27499939690885, 27.0482204892959, -73.4331963408809
3.30000068984962, 26.5037713031322, -74.0598258552585
3.32500161211616, 26.0420466465544, -73.3890060830368
3.34999846102084, 25.6407402138524, -74.0197121095942
3.3750011721899, 25.0249199112308, -74.2336191971145
3.40000120475924, 24.5719937589745, -73.7654787108319
3.42499896961459, 24.2777637755463, -73.5655795561283
3.45000134488859, 23.7546226818732, -73.5261130396881
3.47499929849228, 23.1610742718884, -73.4444517479269
3.50000066739881, 22.7248364749088, -73.1485401188347
3.52500132638677, 22.3019853575819, -73.018979305725
3.54999945778804, 21.8153921358182, -72.6129686879614
3.57500017228098, 21.4435863209369, -72.3608950107837
3.6000006915169, 20.9319260053368, -72.3558987357309
3.6249993548204, 20.5484597225563, -71.9970972053472
3.6499996786632, 19.9170735150529, -70.7847732183797
3.67500017463771, 19.5369487981611, -69.8683198070918
3.69999943970551, 19.0160053111501, -70.1973513547758
3.72499974755292, 18.6612719025167, -69.1095533847411
3.75000043149688, 18.1550039475307, -68.2276836706005
3.77500009755408, 17.6792915419016, -68.6876948277649
3.7999998142457, 17.2261714930279, -66.8321423140696
3.82500071596204, 16.868874590958, -66.7922582232319
3.84999943002093, 16.2866860883093, -64.7453989946035
3.8749998511626, 16.01975063097, -64.8643132407213
3.89999951758348, 15.6084471510659, -62.7826174681078
3.92499944531419, 15.2440316631746, -63.663619131032
3.94999958805272, 14.6968444692527, -60.81548677961
3.97499993700544, 14.4174030347542, -59.944014287444
4.00000027352157, 14.075317671541, -59.0759177118879
4.02499998981021, 13.6645223479971, -58.5849719852088
4.04999976878512, 13.3132437699263, -55.886416805488
4.07500015340864, 13.1130397727469, -54.2504045256106
4.09999972124884, 12.6027575758457, -54.2289028252632
4.12499992884968, 12.3010322967526, -52.0411810252664
4.14999981694791, 12.0136518663912, -50.6626548987523
4.17499978316379, 11.6728248090239, -48.2839692219277
4.19999971751092, 11.5347459609871, -47.8469494248921
4.22500009922849, 11.2561918101024, -46.2231481734036
4.24999989153576, 10.9402863393196, -44.7531449608782
4.27499993372403, 10.7034088924682, -43.9825726417052
4.30000018306431, 10.5449116420791, -42.6133073917143
4.32500017680913, 10.2244620365432, -40.57448607237
4.34999981604352, 10.167968593826, -41.2922414230139
4.3749998929701, 9.96804108665342, -38.1886618157326
4.39999999709807, 9.82993886900865, -36.8204607684459
4.42500010972304, 9.59318558729507, -35.3844501471482
4.44999990978314, 9.59777876181024, -35.781891252058
4.47499997590728, 9.294259739344, -33.6809238159974
4.50000002787886, 9.44274293144974, -32.6904624668963
4.52500011889628, 8.97355622933734, -30.3616215505638
4.5500000277616, 9.09123933496074, -30.4658025972008
4.5749999032363, 8.90368635807053, -28.3448717242207
4.5999999295337, 8.84171831586002, -28.1537134116022
4.62500007417991, 8.80020049623367, -27.8206115797212
4.64999990503621, 8.74252157598665, -27.5955690463967
4.67499996092794, 8.83984187130605, -27.2547459446627
4.70000004497107, 8.55887854057777, -25.5804871527382
4.72499993802206, 8.50506652174237, -25.897191430645
4.7500000718683, 8.47103114014645, -24.9812256902116
4.77499992779835, 8.5532809995289, -27.2430638573413
4.79999997450548, 8.54611916634077, -23.2289112553401
4.82499995948784, 8.50776732813647, -23.7982720183636
4.8500000013479, 8.47118723614335, -24.6367574674518
4.8749999860044, 8.54693346869791, -24.6257264354023
4.90000002677911, 8.48340010547783, -26.0900423493742
4.92500004620382, 8.51912052030031, -23.931885973586
4.95000004187376, 8.41930482917556, -24.8650414746947
4.97500004411407, 8.43227306034602, -23.6110516828814
4.99999997017047, 8.52847947283711, -23.8232495348821
5.02499998981021, 8.55842936750885, -25.2284708976088
5.05000003914721, 8.6276403121012, -25.8216600748519
5.07499998324985, 8.53540105955778, -26.0936705813581
5.09999996220934, 8.85351860093578, -27.5719257160416
5.12500000467679, 8.81337582510915, -27.620647229116
5.15000003170415, 9.00411556874387, -29.0402891342583
5.17499998590677, 9.05718595938671, -30.0858673787416
5.19999997271323, 9.09215315149808, -29.9642038715212
5.22499997876529, 9.22823897308442, -30.7479002257671
5.25000000526039, 9.40879952457944, -32.7074532511312
5.27499998740551, 9.40244420812563, -34.3172679904179
5.29999998035002, 9.78137078760176, -35.247198716459
5.32499998543451, 9.8943037137631, -35.0288836597518
5.34999999671289, 10.2512970127963, -38.1863582412274
5.37500002089225, 10.0707039857847, -42.769318573074
5.39999999709807, 10.461566840221, -44.4868921599356
5.42499999571233, 11.0437375196192, -48.2841306049844
5.45000001741621, 10.8191127513689, -50.2468413109243
5.475000009778, 11.4998324354517, -53.7473638197738
5.49999999590284, 12.0445636888871, -57.5052779149794
5.52499999814705, 12.181056319427, -60.4574408468669
5.54999999926294, 12.6432494176471, -66.7838655761914
5.57500001085419, 13.0335214516241, -72.2544064980486
5.60000000573208, 13.4983678074377, -78.4587655472656
5.62500000224401, 13.9595555151113, -84.9111320614552
5.64999999558539, 14.3349091325619, -92.4535539441822
5.6750000036699, 14.7304760686578, -101.074610520656
5.70000000462006, 14.9933524514259, -110.822384535207
5.72499999516278, 15.1084221548039, -122.28499180622
5.74999999994255, 15.1817914544278, -134.14697796439
5.77499999570065, 14.811888551893, -146.33925431336
5.80000000655743, 14.1864991691223, -159.184944109399
5.82500000487633, 13.4431195698041, -171.939971196549
5.8500000013479, 12.5187577901021, -182.415921463306
5.87499999948857, 11.5844206711509, -192.168175369291
5.90000000131934, 10.6302195397272, -199.932474111246
5.92499999813268, 9.87530776219457, -207.893366398686
5.94999999649168, 9.06283055225515, -214.278259941147
5.97500000127062, 8.40634802232964, -220.680727729661
6.00000000050558, 7.90690588258136, -227.160737386455
